strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct
USDCNH CALL-upout  30Δ  1M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,1770117.687716918,1436000.0,521126.8981170168,-1248990.7895999015,-1240699.5885477192,6.267409470752089,29.440240145227946,-4.751637296113902,-5.960612353478788,-9.83074336565292,2.7144792969021725,-0.4554027566174343,-8.67509165038096,4,0.0,-469000.0295466298,-0.31834705599345925,0.036733563821378795,6.880524369663444,100.0,24.512534818941504,,,,
USDCNH PUT-downout  30Δ  1M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,1770581.7635825654,1436000.0,246612.94860867137,-1523968.814973894,-1547804.8427622435,3.3426183844011144,13.928356977408313,-7.076995117906462,-8.431278918953339,-15.821028067946338,4.321972314128748,-0.5126117111857187,-12.753251233082086,4,0.0,-521505.4579951638,-0.3113638003108594,0.018980153615119517,9.201149200756069,100.0,17.68802228412256,,,,
USDCNH CALL-upout  30Δ  6W  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,1833659.1075784029,1436000.0,694997.8453536108,-1138661.262224792,-1141065.7502695895,6.685236768802229,37.90223834306096,-3.3610284676012068,-5.844899775683894,-10.752464633658844,3.6498844837851423,-0.6244562993140598,-9.494784259469036,4,0.0,-459583.39564962254,-0.3155673889368484,0.13286360075652373,6.206914791349843,100.0,22.42339832869081,,,,
USDCNH PUT-downout  30Δ  6W  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,1834309.2676768333,1436000.0,228833.35739367025,-1605475.910283163,-1602544.4449081894,3.203342618384401,12.475178609520379,-8.242780178266543,-10.007890415358018,-19.01188955810961,5.263613593638485,-0.5259463658356003,-15.271504008996503,4,0.0,-595525.0715185822,-0.31681223901126526,0.0,9.875163735010803,100.0,17.96657381615599,,,,
USDCNH CALL-upout  30Δ  2M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,1928227.2395614006,1436000.0,874460.6725172262,-1053766.5670441745,-1085401.4770618125,7.381615598885793,45.35049887149883,-2.8781547679666275,-28.097480718481695,-100.58371490473077,41.9569716551857,-1.4932645412436438,-70.05445237366739,4,0.0,-540295.8021707895,-0.3070168755709444,0.13345342174306685,4.9635194514527505,100.0,23.398328690807798,,,,
USDCNH PUT-downout  30Δ  2M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,1929208.5224557016,1436000.0,357717.10161297733,-1571491.4208427242,-1562436.4938220677,3.8997214484679668,18.54216884536862,-4.915404267960425,-12.189333198987391,-30.560968131237487,10.905170887639288,-0.8946486825501839,-23.094504086626678,4,0.0,-611522.6806183346,-0.3180664638736618,0.06073003326413457,9.81721156291504,100.0,20.473537604456823,,,,
USDCNH CALL-upout  30Δ  10W  H@25Δ  [Realized vol (20d) < 252d p75],single,717,10000000.0,1968064.542533793,1434000.0,1022546.2435903212,-945518.2989434721,-1111370.4812738015,8.089260808926081,51.956946608765165,-1.6378849919709435,-5.1013330387900515,-10.421316249412135,4.7435915304931475,-0.9298729360391349,-9.844924569283199,4,0.0,-553128.0098403168,-0.26974215721538036,0.3557339793108678,5.196534121782781,100.0,24.267782426778243,,,,
USDCNH PUT-downout  30Δ  10W  H@25Δ  [Realized vol (20d) < 252d p75],single,717,10000000.0,1969215.9964243206,1434000.0,355662.1662763392,-1613553.8301479816,-1610392.6656813673,3.0683403068340307,18.061104872301783,-5.68625681011046,-6.2997835750521105,-7.698308001081818,1.43177986117692,-0.22727445222831746,-7.73156343622903,4,0.0,-533829.6245748046,-0.3176796679762812,0.03261861289578863,9.521371923182265,100.0,21.05997210599721,,,,
USDCNH CALL-upout  30Δ  3M  H@25Δ  [Realized vol (20d) < 252d p75],single,704,10000000.0,2025507.6780491574,1408000.0,1012592.476304094,-1012915.2017450631,-1026675.9259838918,6.534090909090909,49.99203346784447,-1.8541845878881835,-3.713252941692068,-9.055511527700773,3.3115617428922977,-0.8918222902917229,-7.024814684584365,4,0.0,-360557.1504079618,-0.31777291692509124,0.27268139666688945,4.803825221569293,100.0,27.556818181818183,,,,
USDCNH PUT-downout  30Δ  3M  H@25Δ  [Realized vol (20d) < 252d p75],single,704,10000000.0,2027057.5393759871,1408000.0,721202.2150963225,-1305855.3242796645,-1314424.4836058856,5.5397727272727275,35.57877371938532,-2.746112424509572,-4.1213067792967495,-7.632606078388308,2.442685823659016,-0.5926969173781891,-6.563992602955766,4,0.0,-538625.9489264853,-0.3199901383079193,0.1633640520202791,7.1947274633268625,100.0,19.318181818181817,,,,
