strategy_name,strategy_type,period_type,period_end,pnl_usd,equity_usd,drawdown_usd
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,annual,2026-12-31,2678952.929847376,53457639.02565902,-15371.311052761972
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-03-31,840213.0250971627,840213.0250971627,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-04-30,3700390.19208784,4540603.217185001,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-05-31,806053.3118607745,5346656.529045774,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-06-30,2055213.3838941788,7401869.9129399555,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-07-31,1229340.58551269,8631210.498452649,-76633.12407353893
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-08-31,-372944.7005969886,8258265.79785566,-449577.82467052713
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-09-30,2263041.2629702645,10521307.060825925,-88116.73155802488
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-10-31,2215374.8966747816,12736681.957500707,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-11-30,1490751.9178659075,14227433.875366617,-728979.5583661906
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2023-12-31,-1460566.0980982212,12766867.777268393,-2189545.6564644147
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-01-31,-1320945.4585794033,11445922.318688992,-3510491.115043815
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-02-29,1647188.7357304525,13093111.054419445,-1863302.3793133628
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-03-31,3516842.3957676347,16609953.450187083,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-04-30,1306407.513026679,17916360.963213768,-12134.487405415624
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-05-31,1425332.3075178035,19341693.270731572,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-06-30,1897745.275411112,21239438.546142682,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-07-31,646882.1734671721,21886320.719609853,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-08-31,236508.21046677505,22122828.930076636,-431894.97305523977
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-09-30,-826628.0298455921,21296200.900231037,-1258523.0029008389
