bbg_ticker,csv_filename,pair,region,onshore_offshore,category,tenor,field,in_data,n_rows,first_date,last_date
AUDUSD25R1M BGN Curncy,AUDUSD25R1M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_25D,1M,close,True,2706,2016-01-01,2026-05-15
AUDUSD25B1M BGN Curncy,AUDUSD25B1M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_25D,1M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10R1M BGN Curncy,AUDUSD10R1M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_10D,1M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10B1M BGN Curncy,AUDUSD10B1M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_10D,1M,close,True,2706,2016-01-01,2026-05-15
AUDUSDV2M BGN Curncy,AUDUSDV2M BGN Curncy.csv,AUDUSD,G10,,VOL_ATM,2M,close,True,2706,2016-01-01,2026-05-15
AUDUSD25R2M BGN Curncy,AUDUSD25R2M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_25D,2M,close,True,2706,2016-01-01,2026-05-15
AUDUSD25B2M BGN Curncy,AUDUSD25B2M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_25D,2M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10R2M BGN Curncy,AUDUSD10R2M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_10D,2M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10B2M BGN Curncy,AUDUSD10B2M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_10D,2M,close,True,2706,2016-01-01,2026-05-15
AUDUSDV3M BGN Curncy,AUDUSDV3M BGN Curncy.csv,AUDUSD,G10,,VOL_ATM,3M,close,True,2706,2016-01-01,2026-05-15
AUDUSD25R3M BGN Curncy,AUDUSD25R3M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_25D,3M,close,True,2706,2016-01-01,2026-05-15
AUDUSD25B3M BGN Curncy,AUDUSD25B3M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_25D,3M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10R3M BGN Curncy,AUDUSD10R3M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_10D,3M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10B3M BGN Curncy,AUDUSD10B3M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_10D,3M,close,True,2706,2016-01-01,2026-05-15
AUDUSDV6M BGN Curncy,AUDUSDV6M BGN Curncy.csv,AUDUSD,G10,,VOL_ATM,6M,close,True,2706,2016-01-01,2026-05-15
AUDUSD25R6M BGN Curncy,AUDUSD25R6M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_25D,6M,close,True,2706,2016-01-01,2026-05-15
AUDUSD25B6M BGN Curncy,AUDUSD25B6M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_25D,6M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10R6M BGN Curncy,AUDUSD10R6M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_10D,6M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10B6M BGN Curncy,AUDUSD10B6M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_10D,6M,close,True,2706,2016-01-01,2026-05-15
AUDUSDV9M BGN Curncy,AUDUSDV9M BGN Curncy.csv,AUDUSD,G10,,VOL_ATM,9M,close,True,2706,2016-01-01,2026-05-15
AUDUSD25R9M BGN Curncy,AUDUSD25R9M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_25D,9M,close,True,2706,2016-01-01,2026-05-15
AUDUSD25B9M BGN Curncy,AUDUSD25B9M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_25D,9M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10R9M BGN Curncy,AUDUSD10R9M BGN Curncy.csv,AUDUSD,G10,,VOL_RR_10D,9M,close,True,2706,2016-01-01,2026-05-15
AUDUSD10B9M BGN Curncy,AUDUSD10B9M BGN Curncy.csv,AUDUSD,G10,,VOL_BF_10D,9M,close,True,2706,2016-01-01,2026-05-15
AUDUSDV1Y BGN Curncy,AUDUSDV1Y BGN Curncy.csv,AUDUSD,G10,,VOL_ATM,1Y,close,True,2706,2016-01-01,2026-05-15
AUDUSD25R1Y BGN Curncy,AUDUSD25R1Y BGN Curncy.csv,AUDUSD,G10,,VOL_RR_25D,1Y,close,True,2706,2016-01-01,2026-05-15
AUDUSD25B1Y BGN Curncy,AUDUSD25B1Y BGN Curncy.csv,AUDUSD,G10,,VOL_BF_25D,1Y,close,True,2706,2016-01-01,2026-05-15
AUDUSD10R1Y BGN Curncy,AUDUSD10R1Y BGN Curncy.csv,AUDUSD,G10,,VOL_RR_10D,1Y,close,True,2706,2016-01-01,2026-05-15
AUDUSD10B1Y BGN Curncy,AUDUSD10B1Y BGN Curncy.csv,AUDUSD,G10,,VOL_BF_10D,1Y,close,True,2706,2016-01-01,2026-05-15
RBACOR Index,RBACOR Index.csv,AUDUSD,G10,,RATE_OIS_AUD,ON,close,True,2622,2016-01-04,2026-05-14
ADSO1Z Curncy,ADSO1Z Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,1W,close,True,2687,2016-01-01,2026-05-15
